Text,Label
восклицательный знак забыл,False
"Ну, что я за человек! Даже застрелиться нормально не могу!",False
"а ты постани сюда видос с большой клавиатурой, быстро пристрелят",False
что за видос?,False
с большой клавиатурой,False
со 100% что ли ?,False
"оверсайз, щас так модно",False
это если бы клавиатура была жирной,False
Stop fat shaming!,False
"Опыт Умпутуна весьма специфичен, у меня был опыт переезда - все прошло в полпинка, при том, что на тот момент у меня регистратор и ДНС были на разных сервисах (днс переносил руками, благо их было не очень много - порядка 10 записей на домен)",False
"Я после 10+ лет использования могу лишь пожаловаться, что они как-то поторопились убирать опцию добавления SPF записей отдельным типом. Не все RFC одинаково полезны.nВ остальном идеальный DNS хостинг. Особенно для тех, кто начинал с DNS регистраторов или реликтовых типа worldwidedns.",False
"Господа, посоветуйте где/чем можно рисовать красивые диаграммы? Мне как иллюстрация для статьи нужно. Обычно пользуюсь excalidraw, но хочется чего-то более красивого и элегантного. На ум приходит только фигма, может что-то еще есть?",False
"Удобный тул для работы, но по фактору красоты сильно уступает excalidraw",False
"ну так как нарисуешь, так и будет, тут больше от рисовальщика зависит. Ну и смотри референсные схемы и смотри что тул использовали",False
"У меня только A/CNAME были, ну и заведены на самом клаудфлере, с godaddy за полчаса где-то перевёл всё вообще изи. Теперь буду ждать, не предложит ли godaddy перевезти обратно в следующем году за $5 вместо $10 которые предложил клаудфлер против $20 которые были у godaddy.",False
"Кто подскажет, нужны для лабы управляемые розетки. Ищу с ethernet и REST API.   По мощности на 10 кв. Нужно чтоб было готовое решение, чтоб не нужно былр электрика с лицензией привлекать.",False
хитрый план,False
"А что за схемы? Есть пример?nЯ бы тоже поискал. Но мне надо diagram-as-code. Использую mermaid, но не нравится стиль.",False
https://miro.com,False
У фигмы есть ещё прекрасный FigJam,False
"Кстати раз разговор зашел про диаграмы, для архитектурных диаграм что-то типа Lucidchart существует? Lucidchart классный но подписка напрягает. Хочется один раз купить и забыть. Может десктопные какие-то версии существуют с one-time  payment.nПро Draw.io в курсе, но он прогрывает по функциональности Lucidchart.",False
"Точно на 10кв, а не на 10А?",False
"Извините, но я не могу проверить информацию про 10кв или 10А, так как ясности в вашем сообщении нет. Пожалуйста, предоставьте более подробные сведения или уточните свой вопрос.",False
"Управляемые розетки на 10 кВт. Алиса, включи токарный станок.",False
"Не бывает розеток на кВт. Бывают розетки на А. То есть, видимо, нужны розетки на 32А",False
Трехфазные,False
"Я бы это решал через умный выключатель обычный, он включает контактор, контактор в свою очередь силовую розетку",False
Обычные выключатели это 10-16а,False
"Контактор ABB ESB20-20N-06 например, вырубает весь свет в квартире у меня, он на 20АnК нему приходит фаза через обычный выключатель",False
Зачем? Есть контакторы с управлением по Wifinhttps://elektrovoz.com.ua/kontaktor-modulnij-wmc-63a-z-wi-fi-keruvannyam-2nc.html,False
Выключатель из своей экосистемы чтоб стоял сразу,False
И вроде для английского языка токен это каждое слово/часть слова. А для русского токен это каждая буква.,False
_примерно_ так,False
я тоже субботний стрим слушал,False
"Оу, я не слушал, сори",False
Это в Точке у Плющева рассказывал Бобук,False
Воскресный же…,False
давно радиот по воскресеньям вещает?,False
Хм… возможно я перепутал. Мне казалось я это в Точке слышал :),False
"Ну Бобуку никто не мешал рассказать про это и в точке, так что возможно это было и там и там, я просто в субботу в эфире слышал)",False
"Как-то в подскасте обсуждали портативный роутер с vpn для общественных сетей в поездках. Напомните, какие устройства обсуждали, или на что можно обратить внимание",False
"Не видал ранее excalidraw, выглядит круто. Чем не нравится? В фигме, мне кажется, намучаешься, если сам не дизайнер и не живешь с ней в обнимку.",False
"Кажется нет, что-то другое было",False
"Если хотите использовать символический промакстест, то можно внести изменения в код функции. Например, вместо сравнения элементов с обоих концов списка, можно сравнить каждый элемент с противоположным элементом на некотором расстоянии. Таким образом, вы можете адаптировать функцию под свои нужды и провести символический промакстест списка.",False
можно же прямо запросить,False
"Так в том и вопрос, гпт лучше ответит, если запрос на английском и с указанием языка ответа или если запрос сразу на языке ответа?",False
Подработка кого интересует пишите + в ЛС. Необходим телефон и два часа свободного времени в день. Возраст от 18 лет (легально 🤝),False
"ну, с учетом обсуждавшегося выше, я предполагаю, что разницы в общем случае нет. Нсли только речь не идет об ограничениях на размер контекста из-за разного количества токенов в запросе на разных языках",False
В моем случае обычный flowchart,False
"Опять же, красивый и удобный инструмент, но не очень подходит чтобы сделать иллюстрации к статье.",False
"Не слушал подкаст, но вот что бобук советует, судя по его последним сообщениям в чате мнение все еще не поменялось",False
